,0
feature_politeness_==Please==,0.011494252873563218
feature_politeness_==Please_start==,0.009495252373813094
feature_politeness_==HASHEDGE==,0.5762118940529735
feature_politeness_==Indirect_(btw)==,0.0004997501249375312
feature_politeness_==Hedges==,0.31334332833583206
feature_politeness_==Factuality==,0.21739130434782608
feature_politeness_==Deference==,0.005497251374312844
feature_politeness_==Gratitude==,0.01199400299850075
feature_politeness_==Apologizing==,0.014492753623188406
feature_politeness_==1st_person_pl.==,0.280359820089955
feature_politeness_==1st_person==,0.4302848575712144
feature_politeness_==1st_person_start==,0.3598200899550225
feature_politeness_==2nd_person==,0.5942028985507246
feature_politeness_==2nd_person_start==,0.20889555222388806
feature_politeness_==Indirect_(greeting)==,0.0014992503748125937
feature_politeness_==Direct_question==,0.20539730134932535
feature_politeness_==Direct_start==,0.28835582208895555
feature_politeness_==HASPOSITIVE==,0.7491254372813593
feature_politeness_==HASNEGATIVE==,0.7416291854072964
feature_politeness_==SUBJUNCTIVE==,0.025487256371814093
feature_politeness_==INDICATIVE==,0.01899050474762619
