,0
feature_politeness_==Please==,0.0429033010226175
feature_politeness_==Please_start==,0.04113787015755638
feature_politeness_==HASHEDGE==,0.4579127943772692
feature_politeness_==Indirect_(btw)==,0.0037973418606975116
feature_politeness_==Hedges==,0.2261417008094334
feature_politeness_==Factuality==,0.119116618367143
feature_politeness_==Deference==,0.009360114586456147
feature_politeness_==Gratitude==,0.049098964058492386
feature_politeness_==Apologizing==,0.020419040005329604
feature_politeness_==1st_person_pl.==,0.1798407781219813
feature_politeness_==1st_person==,0.37213950234835613
feature_politeness_==1st_person_start==,0.3344991839046001
feature_politeness_==2nd_person==,0.3753039538989374
feature_politeness_==2nd_person_start==,0.11005629392758402
feature_politeness_==Indirect_(greeting)==,0.012857666300256487
feature_politeness_==Direct_question==,0.10029645914526499
feature_politeness_==Direct_start==,0.16128709903067853
feature_politeness_==HASPOSITIVE==,0.5764298324506179
feature_politeness_==HASNEGATIVE==,0.5569101628859798
feature_politeness_==SUBJUNCTIVE==,0.010226175010825756
feature_politeness_==INDICATIVE==,0.009093634455880883
